url,title,channel,channel_url,video_id,duration,duration_minutes,width,height,fps,upload_date,view_count,language,tags,source_type,expected_accent,expected_speaker_count,query,search_rank,notes
https://www.youtube.com/watch?v=anxzhg7NxUA,99dosmil - Todo el Día Pensando (Video Oficial),99dosmil,https://www.youtube.com/channel/UCsHJM5W5VZWPhh2A02ffxZQ,anxzhg7NxUA,285,4.75,640,360,25,20260304,334930,es,,other,unknown,unknown,podcast argentino entrevista camara fija,1,prefilter_reject:duracion_menor_a_480s
https://www.youtube.com/watch?v=KS4dCIP4JrE,¡Gaspi va a la heladería!,Bat Flicks & Ink,https://www.youtube.com/channel/UCosq89YF0x7ImOe9dKbLHpw,KS4dCIP4JrE,105,1.75,640,352,30,20220811,1230388,es,,other,unknown,unknown,podcast argentino entrevista camara fija,2,prefilter_reject:duracion_menor_a_480s
https://www.youtube.com/watch?v=3DU520MCIO4,VUELAPELUCAS 3000: Encuentro de Artistas en La Pampa - EN EL VACÍO PODCAST,EN EL VACÍO,https://www.youtube.com/channel/UCoi2nKLA2fadiCqgXVVul2A,3DU520MCIO4,2633,43.883,640,360,30,20250130,210,es,podcast|en el vacío|en el vacío podcast|vuelapelucas 3000|vuela|juanito png|pamilo ceirone|pancho del pueblo|taka|takashoshi|nft|solana|ethereum|zora|crypto art|la pampa|victorica,podcast,argentino/rioplatense_probable,1-2,podcast argentino entrevista camara fija,3,prefilter_reject:rechazo_keyword:tiktok
https://www.youtube.com/watch?v=7o3kTnxB664,En Vilo #115 con Ta'crack,EN VILO,https://www.youtube.com/channel/UCLlZfeVVoJLC4u5NOouoJ5Q,7o3kTnxB664,1037,17.283,640,360,30,20260410,517,,,other,unknown,unknown,podcast argentino entrevista camara fija,4,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=m6jfZa00vkY,"ESTOY FUERA | Corto ganador 1er premio concurso ""Hacé cine"" ECU.",Ismael Krall,https://www.youtube.com/channel/UCkhZpbl2iz6E7SsU3NWpBQw,m6jfZa00vkY,60,1.0,640,360,24,20190119,1825335,,short film|minuto|1 minute|uruguay|corto|cortometraje|short|winner|ecu|concurso,educational,unknown,1,podcast argentino entrevista camara fija,5,prefilter_reject:duracion_menor_a_480s
https://www.youtube.com/watch?v=Gdi-M-RwNao,1 Hombre Construido vs 7 Mujeres Modernas | Rodeados con Matías Laca,La Cruda Verdad Podcast,https://www.youtube.com/channel/UCbIsVQyn2UfiTcdnbt7tEhA,Gdi-M-RwNao,6346,105.767,640,360,30,20260227,239002,es,,podcast,unknown,1-2,podcast argentino entrevista camara fija,6,prefilter_reject:rechazo_keyword:musica
https://www.youtube.com/watch?v=0lJ1Y6xyxsY,VALE ACEVEDO En La Pileta De Blest - APÓSTROFE LIVE MUSIC SESSIONS,Apóstrofe,https://www.youtube.com/channel/UCr94O0DXHFDH3k09s1P-xLw,0lJ1Y6xyxsY,1046,17.433,640,360,24,20210725,43638,es,vale|acevedo|vale acevedo|pileta de blest|blest palermo|live session|live music session|apostrofe|apóstrofe|apostrofe live music|tiny desk|pileta,other,argentino/rioplatense_probable,unknown,podcast argentino entrevista camara fija,7,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=vlejYMsa00Y,PROHIBIDO DORMIR: 5 Horas de Relatos Reales SIN INTERRUPCIONES (Especial de Colección),PARANORMAL AND UFOs,https://www.youtube.com/channel/UC_1OvMBLlYzIyKJAvNHnLdA,vlejYMsa00Y,18104,301.733,640,360,30,20260426,3325,es,POP|HECTOR|ROSSI|PARANORMAL|TRASNOCHE|LOCUTOR,interview,argentino/rioplatense_probable,1-2,podcast argentino entrevista camara fija,8,prefilter_reject:duracion_mayor_a_14400s
https://www.youtube.com/watch?v=8Ax26bhTBM4,La mejor camara para Streaming y podcast || GUIA 2025,Martin De Iuliis,https://www.youtube.com/channel/UCTBfxr-ZxHJqjKbC5BCakHQ,8Ax26bhTBM4,501,8.35,640,360,25,20251215,6027,es,guia streaming|martindeiuliis|martin de iuliis|embajada|embajador sony|la embajada estudio|la embajada productora|sony alpha|sony fr7|streaming|mejor camara para streaming|guia|tutorial|review,podcast,argentino/rioplatense_probable,1-2,streamer argentino charla larga facecam,1,ytsearch_metadata_no_download
https://www.youtube.com/watch?v=SimBGCewqHs,Las 5 MEJORES Webcams Para Streaming en 2025/2026!,TiltEdward,https://www.youtube.com/channel/UCUc-IlxTa96nmruSaKuvfqw,SimBGCewqHs,569,9.483,640,360,30,20250212,124787,es,best camera|best mirrorless camera|best camera for youtube|webcam|Streaming|webcams calidad precio|webcams colombia|webcams|camaras de streaming|camaras de stream|camara para streaming|camara para streaming calidad precio|obs studio|obs|logitech mx brio ultra hd 4k|logitech mx brio|logitech brio 4k|logitech c920|logitech brio|streamplify cam,streamer,unknown,1,streamer argentino charla larga facecam,2,prefilter_reject:rechazo_keyword:tiktok
