url,video_id,title,channel,decision,total_score,usable_minutes_estimate,accepted_clips_estimate,recommended_use,ingest_status,failure_reason,notes
https://www.youtube.com/watch?v=yJxDKBgw5NU,yJxDKBgw5NU,"Santiago Cafiero, mano a mano en TN: ""Es una decisión sanitaria, no política""",Todo Noticias,strong_accept,97.28,20.65,248.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=OrwtPwftIi4,OrwtPwftIi4,🎤 Curso de Oratoria con Daniel Colombo | 100% Práctico,Daniel Colombo,strong_accept,96.76,60,1023.0,ingest_partial,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=qEKPgqURvo0,qEKPgqURvo0,REBORD - PERETTI | HAY ALGO AHÍ | BLENDER,BLENDER,strong_accept,94.26,60,822.0,ingest_partial,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=JixCyhEGE0A,JixCyhEGE0A,Javier Milei en TN I Entrevista completa del 30/06/2024,Todo Noticias,strong_accept,93.47,37.76,453.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=vDNy6EN7bIY,vDNy6EN7bIY,¿Cómo es el ESPAÑOL ARGENTINO FORMAL? - Argento Podcast #44,Spanish with Nico,strong_accept,92.65,13.02,156.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=R3f0x1IJvhI,R3f0x1IJvhI,"GUILLERMO FRANCELLA, UN LUJO COMO PRIMER INVITADO DE OTRO DÍA PERDIDO || ENTREVISTA COMPLETA",eltrece,strong_accept,92.19,21.32,256.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=j4x2GC1Ztro,j4x2GC1Ztro,Mario Pergolini y un imperdible mano a mano con Andy Kusnetzoff | #Perros2022 Perros de la Calle,Urbana Play 104.3 FM,strong_accept,92.18,56.41,677.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=Z-t-GNlxpYc,Z-t-GNlxpYc,"Entrevista completa de Javier Milei con Luis Majul: ""Hemos pasado el momento bisagra""",LA NACION,strong_accept,91.18,49.64,596.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=ITovsJg-q5c,ITovsJg-q5c,Cómo Amarse a uno Mismo y Tener Buena Salud Mental: Hábitos de Vida - Gabriel Rolón,Tengo un Plan,strong_accept,91.1,60,1341.0,ingest_partial,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=eqw0QM4A0oA,eqw0QM4A0oA,Taty Almeida | Bios Militantes con Julia Mengolini en #Segurola,Futurock FM,strong_accept,90.38,49.83,598.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=jgp8WZvtkWU,jgp8WZvtkWU,Martin Menem con Iván Schargrodsky en #OnTheRecord,Cenital,accept,90.69,60,748.0,ingest_partial,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=h3HtBhArO1Q,h3HtBhArO1Q,El Método Rebord #56 - Andy Chango,El Método Rebord,accept,90.64,60,1228.0,ingest_partial,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
https://www.youtube.com/watch?v=EhYznjqlcKY,EhYznjqlcKY,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,accept,89.37,34.01,408.0,ingest_full,blocked_not_ingested_in_this_release,spot_vm_preempted_before_new_discovery_stage,accepted source queued; no raw video/clips were uploaded by this script
